short_id,grupo,duracion_seg,latencia_agente_med,latencia_deudor_med,silencio_pct,n_turnos,turnos_por_min,dur_turno_agente_med,dur_turno_deudor_med,vel_agente_pps,vel_deudor_pps,palabras_agente,palabras_deudor,share_tiempo_agente,n_presion_legal,presiona,se_identifica,verifica_identidad,n_speakers_detected,diarizacion_colapsada,diarizacion_limpia,pct_segmentos_sin_rol
audioh1-0445c357-2spk,humano,309.52,0.0,0.4,0.143,20,3.88,21.37,2.98,2.78,2.06,620,87,0.841,0,0,1,1,2,0,1,0.0
audioh10-2b377b6a-1spk,humano,202.66,0.66,1.17,0.253,13,3.85,20.52,1.86,2.31,2.18,293,54,0.836,0,0,1,0,1,1,0,0.0
audioh11-2d454b7b-2spk,humano,578.9,0.0,0.0,0.058,41,4.25,15.15,5.4,2.29,2.68,872,443,0.697,0,0,1,0,2,0,1,0.0
audioh12-2e50e9db-2spk,humano,123.4,0.62,0.0,0.145,15,7.29,5.305,5.44,2.36,2.09,127,108,0.51,0,0,0,1,2,0,1,0.0
audioh13-306c762c-2spk,humano,132.6,0.69,0.72,0.181,22,9.95,6.48,2.05,2.74,3.11,177,137,0.595,1,1,0,0,2,0,1,0.0
audioh14-336a8602-2spk,humano,76.0,1.61,0.32,0.233,3,2.37,28.65,1.0,3.37,3.0,193,3,0.983,0,0,0,0,2,0,1,0.0
audioh15-380f5075-2spk,humano,74.56,0.0,0.0,0.167,7,5.63,6.75,2.8,2.81,2.22,152,18,0.87,0,0,1,0,2,0,1,0.0
audioh16-38482ca0-2spk,humano,299.5,0.0,0.0,0.062,14,2.8,15.14,9.25,2.77,2.49,567,189,0.729,5,1,0,0,2,0,1,0.0
audioh17-440cb585-1spk,humano,201.9,1.5,0.0,0.184,8,2.38,19.1,24.28,3.76,2.41,242,242,0.391,4,1,0,0,1,1,0,0.0
audioh18-50e0f632-1spk,humano,116.42,0.0,0.0,0.185,7,3.61,15.42,3.98,1.57,3.51,99,111,0.667,0,0,0,0,1,1,0,0.0
audioh19-635a7986-1spk,humano,166.74,0.0,0.16,0.209,20,7.2,8.77,1.72,2.73,1.97,247,82,0.685,0,0,1,1,1,1,0,0.0
audioh2-09115a4a-2spk,humano,87.2,0.0,0.62,0.141,3,2.06,33.035,8.8,3.1,2.73,205,24,0.882,0,0,1,0,2,0,1,0.0
audioh20-63b9a147-2spk,humano,243.4,0.0,0.0,0.223,16,3.94,16.12,4.595,1.81,0.75,255,36,0.747,0,0,1,0,2,0,1,0.0
audioh21-66c2db61-2spk,humano,137.76,0.525,0.0,0.242,4,1.74,51.015,1.22,2.47,1.64,252,4,0.977,0,0,1,0,2,0,1,0.0
audioh22-67197ac4-2spk,humano,395.24,,,0.094,1,0.15,355.31,,2.96,,1051,0,1.0,0,0,0,1,2,0,0,0.007
audioh23-6854b6cc-3spk,humano,160.78,0.68,0.0,0.155,4,1.49,66.835,1.05,1.77,1.43,236,3,0.985,0,0,1,0,3,0,0,0.017
audioh24-693045ed-2spk,humano,177.64,,,0.102,1,0.34,158.56,,2.31,,367,0,1.0,2,1,1,0,2,0,0,0.026
audioh25-6bbff5d5-2spk,humano,294.54,0.0,0.62,0.112,11,2.24,33.8,3.3,2.66,1.64,648,29,0.932,1,1,1,0,2,0,1,0.0
audioh26-73ddf5ba-1spk,humano,145.24,0.0,0.0,0.168,13,5.37,9.12,3.67,2.18,2.19,171,93,0.649,0,0,0,0,1,1,0,0.0
audioh27-74aa7e2d-2spk,humano,118.26,1.74,0.64,0.169,3,1.52,48.82,0.58,2.42,3.45,236,2,0.994,0,0,0,0,2,0,1,0.0
audioh28-74b16f62-2spk,humano,643.48,0.0,0.7,0.097,36,3.36,17.06,10.58,2.6,2.63,1065,450,0.705,6,1,1,0,2,0,1,0.0
audioh29-77d258d0-2spk,humano,283.16,0.0,0.15,0.093,32,6.78,7.545,3.93,2.64,2.79,438,254,0.646,3,1,1,1,2,0,1,0.0
audioh3-0bc9a430-1spk,humano,105.64,0.52,0.0,0.645,11,6.25,3.57,2.96,2.81,3.71,47,77,0.447,0,0,0,0,1,1,0,0.0
audioh30-7ea6c8f3-1spk,humano,129.88,1.78,1.835,0.299,10,4.62,8.47,9.69,2.87,3.13,154,117,0.589,1,1,1,0,1,1,0,0.0
audioh31-82ee7afd-2spk,humano,186.02,0.27,1.045,0.192,17,5.48,8.53,7.64,2.47,2.57,235,142,0.632,0,0,1,1,2,0,1,0.0
audioh32-91b9fd77-1spk,humano,81.64,0.0,0.77,0.181,4,2.94,18.185,15.24,2.17,3.12,79,95,0.544,1,1,1,0,1,1,0,0.0
audioh33-92778da9-2spk,humano,176.56,0.86,0.08,0.233,12,4.08,5.48,5.175,2.58,3.09,99,300,0.283,0,0,0,0,2,0,1,0.0
audioh34-93d0abfc-2spk,humano,175.46,0.86,0.6,0.197,3,1.03,69.475,1.97,1.82,0.51,253,1,0.986,0,0,0,1,2,0,1,0.0
audioh35-9919c667-1spk,humano,152.86,0.81,1.905,0.238,13,5.1,8.94,1.82,2.97,2.98,255,86,0.749,0,0,1,0,1,1,0,0.022
audioh36-a3383d00-1spk,humano,135.16,0.96,0.0,0.138,12,5.33,13.31,4.505,2.77,2.09,192,99,0.594,1,1,1,0,1,1,0,0.0
audioh37-ab2ac983-2spk,humano,350.68,0.42,0.88,0.111,22,3.76,16.88,2.38,1.68,1.75,416,113,0.793,10,1,1,0,2,0,1,0.0
audioh38-ae0573ba-2spk,humano,308.64,2.58,0.0,0.137,3,0.58,132.24,2.02,2.65,0.99,700,2,0.992,2,1,1,0,2,0,1,0.0
audioh39-b7318057-2spk,humano,285.6,0.0,0.05,0.038,16,3.36,16.815,2.13,2.11,2.16,484,98,0.835,0,0,1,0,2,0,1,0.0
audioh40-b954108b-2spk,humano,105.46,1.07,0.93,0.288,13,7.4,3.1,2.53,2.45,2.98,137,57,0.745,0,0,1,1,2,0,1,0.0
audioh41-c067f714-2spk,humano,88.44,0.0,0.0,0.146,9,6.11,10.94,2.89,2.96,2.58,186,33,0.831,0,0,1,0,2,0,1,0.0
audioh42-c5d3d94f-2spk,humano,109.82,0.46,0.0,0.674,14,7.65,2.54,1.99,2.89,3.54,60,53,0.581,0,0,0,0,2,0,1,0.0
audioh43-ce33bc23-2spk,humano,1233.2,0.0,0.0,0.034,18,0.88,45.53,2.97,2.13,0.6,2406,38,0.947,5,1,0,1,2,0,1,0.0
audioh44-d741fe26-1spk,humano,304.24,0.0,0.0,0.143,13,2.56,5.68,4.1,2.78,2.72,278,86,0.76,4,1,1,0,1,1,0,0.511
audioh45-e76a6feb-2spk,humano,208.44,0.0,0.14,0.145,19,5.47,9.545,3.9,2.17,2.21,291,97,0.753,0,0,0,0,2,0,1,0.0
audioh46-e7d964af-2spk,humano,126.5,,,0.26,1,0.47,92.94,,2.78,,258,0,1.0,0,0,1,0,2,0,0,0.021
audioh47-e98181dc-2spk,humano,152.4,1.1,0.3,0.134,14,5.51,9.54,0.84,2.57,2.21,314,22,0.924,0,0,0,0,2,0,1,0.0
audioh48-eaaa5092-1spk,humano,209.58,1.22,1.87,0.27,19,5.44,9.075,1.34,2.78,2.5,355,63,0.835,0,0,1,1,1,1,0,0.0
audioh49-f613df46-2spk,humano,276.52,,0.0,0.112,2,0.43,244.43,1.0,2.54,1.0,622,1,0.996,0,0,1,1,2,0,1,0.0
audioh5-0d2d37dd-2spk,humano,594.72,0.725,0.42,0.106,37,3.73,15.46,4.245,2.21,3.07,934,335,0.795,0,0,1,0,2,0,1,0.0
audioh50-f75a5ac6-1spk,humano,141.12,0.25,0.0,0.152,17,7.23,2.305,1.06,2.93,2.54,117,203,0.334,0,0,0,0,1,1,0,0.0
audioh7-1e3beb83-1spk,humano,160.76,0.0,0.92,0.181,20,7.46,7.33,2.7,2.31,2.89,227,89,0.761,1,1,0,0,1,1,0,0.049
audioh8-1f5cda00-2spk,humano,143.74,0.0,0.0,0.159,17,7.1,6.15,1.79,2.81,1.55,291,27,0.856,0,0,0,1,2,0,1,0.0
audioh9-2a92a64c-2spk,humano,626.2,,,0.078,1,0.1,575.46,,2.96,,1705,0,1.0,1,1,1,1,2,0,0,0.005
audioi1-07c816c7-2spk,ia,141.92,2.49,1.38,0.238,11,4.65,7.64,2.86,3.11,1.75,290,26,0.863,3,1,1,0,2,0,1,0.0
audioi10-32616618-2spk,ia,66.6,2.22,0.825,0.528,14,12.61,3.21,0.88,2.71,3.14,61,28,0.716,1,1,1,0,2,0,1,0.0
audioi11-3350acd3-2spk,ia,185.06,1.04,0.18,0.2,19,6.16,5.575,2.62,2.09,3.12,266,64,0.861,2,1,1,1,2,0,1,0.0
audioi12-355812a5-2spk,ia,295.56,,,0.246,1,0.2,220.07,,1.75,,385,0,1.0,1,1,1,1,2,0,0,0.019
audioi13-3a02fcc2-2spk,ia,314.22,0.98,0.02,0.192,22,4.2,10.93,5.22,2.91,2.28,604,106,0.817,4,1,1,0,2,0,1,0.0
audioi14-3df056d8-2spk,ia,107.28,1.24,0.44,0.293,9,5.03,17.8,1.96,3.27,2.24,223,17,0.9,5,1,1,1,2,0,1,0.0
audioi15-3e8b2986-2spk,ia,156.08,0.95,0.835,0.372,5,1.92,25.78,4.13,2.09,3.75,188,31,0.916,0,0,0,1,2,0,1,0.0
audioi16-41269351-2spk,ia,100.36,,,0.305,1,0.6,38.72,,1.58,,61,0,1.0,0,0,0,0,2,0,0,0.583
audioi17-449d76a1-2spk,ia,439.72,2.25,1.235,0.266,46,6.28,8.92,2.54,3.07,2.1,701,198,0.708,5,1,1,1,2,0,1,0.0
