short_id,original_file_id,source,n_speakers_detected,duration_sec,n_segments,new_path,original_path
audioh1-0445c357-2spk,0445c357-e465-49ae-8067-bfa91d11b532,humano,2,309.52,106,Transcriptions procesadas\Transcriptions_renombradas\humanos\audioh1-0445c357-2spk.json,Transcriptions\humanos\0445c357-e465-49ae-8067-bfa91d11b532.json
audioh2-09115a4a-2spk,09115a4a-ac50-4425-9dbc-b551a0b5342c,humano,2,87.2,36,Transcriptions procesadas\Transcriptions_renombradas\humanos\audioh2-09115a4a-2spk.json,Transcriptions\humanos\09115a4a-ac50-4425-9dbc-b551a0b5342c.json
audioh3-0bc9a430-1spk,0bc9a430-bdcd-44a7-a92d-e71dc33c8ad5,humano,1,105.64,14,Transcriptions procesadas\Transcriptions_renombradas\humanos\audioh3-0bc9a430-1spk.json,Transcriptions\humanos\0bc9a430-bdcd-44a7-a92d-e71dc33c8ad5.json
audioh4-0c6ada7d-1spk,0c6ada7d-d8c5-4840-ae79-0d8d573183dc,humano,1,141.48,12,Transcriptions procesadas\Transcriptions_renombradas\humanos\audioh4-0c6ada7d-1spk.json,Transcriptions\humanos\0c6ada7d-d8c5-4840-ae79-0d8d573183dc.json
audioh5-0d2d37dd-2spk,0d2d37dd-38a4-40dd-ac62-b430f722ed57,humano,2,594.72,138,Transcriptions procesadas\Transcriptions_renombradas\humanos\audioh5-0d2d37dd-2spk.json,Transcriptions\humanos\0d2d37dd-38a4-40dd-ac62-b430f722ed57.json
audioh7-1e3beb83-1spk,1e3beb83-824b-4ad5-8483-f4ff6ea3c05e,humano,1,160.76,41,Transcriptions procesadas\Transcriptions_renombradas\humanos\audioh7-1e3beb83-1spk.json,Transcriptions\humanos\1e3beb83-824b-4ad5-8483-f4ff6ea3c05e.json
audioh8-1f5cda00-2spk,1f5cda00-bbf3-4770-97dc-99760ddadc1b,humano,2,143.74,48,Transcriptions procesadas\Transcriptions_renombradas\humanos\audioh8-1f5cda00-2spk.json,Transcriptions\humanos\1f5cda00-bbf3-4770-97dc-99760ddadc1b.json
audioh9-2a92a64c-2spk,2a92a64c-6ea8-48a0-b47a-445a3c577199,humano,2,626.2,191,Transcriptions procesadas\Transcriptions_renombradas\humanos\audioh9-2a92a64c-2spk.json,Transcriptions\humanos\2a92a64c-6ea8-48a0-b47a-445a3c577199.json
audioh10-2b377b6a-1spk,2b377b6a-4fa1-4910-8d68-9ee05f7c302a,humano,1,202.66,46,Transcriptions procesadas\Transcriptions_renombradas\humanos\audioh10-2b377b6a-1spk.json,Transcriptions\humanos\2b377b6a-4fa1-4910-8d68-9ee05f7c302a.json
audioh11-2d454b7b-2spk,2d454b7b-9f12-4acb-8101-d3ba74bb84ff,humano,2,578.9,181,Transcriptions procesadas\Transcriptions_renombradas\humanos\audioh11-2d454b7b-2spk.json,Transcriptions\humanos\2d454b7b-9f12-4acb-8101-d3ba74bb84ff.json
